"filename", "language", "HTML", "XML", "CSS", "Java", "JavaScript", "JSON", "Markdown", "CSV", "comment", "blank", "total"
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\.VSCodeCounter\2025-05-26_02-58-55\details.md", "Markdown", 0, 0, 0, 0, 0, 0, 123, 0, 0, 6, 129
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\.VSCodeCounter\2025-05-26_02-58-55\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 0, 9, 0, 0, 6, 15
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\.VSCodeCounter\2025-05-26_02-58-55\diff.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\.VSCodeCounter\2025-05-26_02-58-55\diff.md", "Markdown", 0, 0, 0, 0, 0, 0, 12, 0, 0, 7, 19
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\.VSCodeCounter\2025-05-26_02-58-55\results.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 116
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\.VSCodeCounter\2025-05-26_02-58-55\results.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\.VSCodeCounter\2025-05-26_02-58-55\results.md", "Markdown", 0, 0, 0, 0, 0, 0, 50, 0, 0, 7, 57
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\build\web\BookingForm.jsp", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, -5
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\build\web\DangKy.jsp", "HTML", 75, 0, 0, 0, 0, 0, 0, 0, 0, 6, 81
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\build\web\addRoom.jsp", "HTML", 93, 0, 0, 0, 0, 0, 0, 0, 0, 11, 104
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\build\web\booking.jsp", "HTML", -1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\build\web\css\CustomerStyle.css", "CSS", 0, 0, 10, 0, 0, 0, 0, 0, 0, -1, 9
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\build\web\css\style.css", "CSS", 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, -3
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\build\web\js\nhanvien.js", "JavaScript", 0, 0, 0, 0, -2, 0, 0, 0, 2, 1, 1
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\build\web\login.jsp", "HTML", 39, 0, 0, 0, 0, 0, 0, 0, 0, 5, 44
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\build\web\nhanvien.jsp", "HTML", 138, 0, 0, 0, 0, 0, 0, 0, 1, 17, 156
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\nbproject\private\private.xml", "XML", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\SignUpControl.java", "Java", 0, 0, 0, 55, 0, 0, 0, 0, 3, 12, 70
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\dao\BookingDAO.java", "Java", 0, 0, 0, 22, 0, 0, 0, 0, 3, 4, 29
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\dao\DAO.java", "Java", 0, 0, 0, 38, 0, 0, 0, 0, 0, 5, 43
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\BookingForm.jsp", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, -5
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\DangKy.jsp", "HTML", 75, 0, 0, 0, 0, 0, 0, 0, 0, 6, 81
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\addRoom.jsp", "HTML", 93, 0, 0, 0, 0, 0, 0, 0, 0, 11, 104
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\booking.jsp", "HTML", -1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\css\CustomerStyle.css", "CSS", 0, 0, 10, 0, 0, 0, 0, 0, 0, -1, 9
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\css\style.css", "CSS", 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, -3
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\js\nhanvien.js", "JavaScript", 0, 0, 0, 0, -2, 0, 0, 0, 2, 1, 1
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\login.jsp", "HTML", 39, 0, 0, 0, 0, 0, 0, 0, 0, 5, 44
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\nhanvien.jsp", "HTML", 138, 0, 0, 0, 0, 0, 0, 0, 1, 17, 156
"Total", "-", 688, -1, 14, 115, -4, 1, 194, 118, 2, 127, 1254
